xValue, yValue, zValue ,Button,xGyro, yGyro, zGyro 
-0.796875,-9.0703125,3.5546875,21,-0.033233643,0.05078125,-0.04046631
-0.9453125,-9.453125,2.5175781,21,0.07098389,0.006080627,-0.003246307
-0.48120117,-9.4765625,3.4960938,21,0.21362305,0.109313965,-0.17236328
-1.0576172,-8.953125,2.8261719,21,-0.043884277,-0.032226562,0.047821045
-0.31591797,-10.015625,3.421875,21,0.75,0.3774414,-0.34155273
-0.93115234,-9.2265625,3.0332031,21,-0.2939453,-0.14282227,0.19360352
-0.56933594,-8.3515625,3.5839844,21,0.36572266,0.27197266,-0.20544434
-1.0146484,-9.1875,2.8105469,21,-0.2705078,-0.14282227,0.2319336
-0.5097656,-8.625,3.3535156,21,0.51660156,0.3815918,-0.2680664
-1.0771484,-9.1328125,3.0273438,21,-0.1821289,-0.08117676,0.2286377
-0.62939453,-8.53125,3.8320312,21,0.40405273,0.28686523,-0.16394043
-1.2441406,-9.328125,2.6445312,21,-0.6694336,-0.52246094,0.32006836
-0.5288086,-9.0546875,3.5976562,21,0.5541992,0.38916016,-0.25756836
-1.2441406,-8.9921875,2.9609375,21,-0.26733398,-0.2705078,0.28515625
-0.61279297,-8.015625,3.9453125,21,0.3774414,0.33911133,-0.21289062
-1.1650391,-9.3125,2.7792969,21,-0.6035156,-0.52783203,0.34472656
-0.5527344,-8.7265625,3.5898438,21,0.4892578,0.37109375,-0.31079102
-0.98876953,-9.484375,2.7109375,21,-0.49609375,-0.3161621,0.24572754
-0.60302734,-8.25,3.4648438,21,0.7421875,0.39233398,-0.27026367
-1.0166016,-9.1640625,2.8203125,21,-0.47485352,-0.28759766,0.24365234
-0.57177734,-8.59375,3.7011719,21,0.4008789,0.26342773,-0.28198242
-0.9477539,-9.2109375,2.8046875,21,-0.40551758,-0.25878906,0.24365234
-0.86865234,-8.1015625,3.6601562,21,0.30615234,0.22631836,-0.19042969
-1.1699219,-9.078125,2.8066406,21,-0.39697266,-0.34814453,0.32006836
-0.9790039,-9.2890625,3.2089844,21,0.10827637,0.11035156,-0.10961914
-1.09375,-8.8984375,2.9121094,21,-0.34399414,-0.21948242,0.1850586
-1.1582031,-9.4375,3.1328125,21,-0.0289917,0.014595032,-0.05645752
-0.890625,-9.4140625,2.6660156,21,0.22631836,0.053955078,-0.21179199
-1.1103516,-9.0625,2.7207031,21,0.024215698,0.043304443,0.07122803
-0.54541016,-9.5703125,3.5566406,21,0.97021484,0.3071289,-0.31396484
-1.0507812,-9.875,2.5273438,21,-0.35546875,-0.101379395,0.17553711
-0.6435547,-8.8671875,3.71875,21,0.6201172,0.24121094,-0.27661133
-1.1416016,-9.265625,2.7089844,21,-0.3491211,-0.15673828,0.17553711
-0.49536133,-8.7890625,3.421875,21,0.62939453,0.25830078,-0.32885742
-1.1650391,-9.140625,2.6953125,21,-0.22155762,-0.077941895,0.12658691
-0.36621094,-9.5859375,3.1914062,21,0.7084961,0.35717773,-0.35107422
-1.1347656,-9.296875,2.8066406,21,-0.18115234,-0.0769043,0.15527344
-0.44995117,-8.21875,3.1855469,21,0.6040039,0.28466797,-0.25439453
-1.2255859,-9.171875,2.8378906,21,-0.3503418,-0.20031738,0.26049805
-0.5649414,-8.2890625,3.3886719,21,0.48388672,0.2998047,-0.3149414
-0.99560547,-9.3984375,3.0976562,21,-0.24279785,-0.20349121,0.25854492
-1.0556641,-7.921875,4.4414062,21,0.104003906,0.095458984,-0.09472656
